12.01, 0.06, 0.01 
12.00, 0.04, 0.04 
12.05, 0.08, 0.01 
12.05, 0.05, 0.03 
12.01, 0.05, 0.03 
12.03, 0.05, 0.04 
11.93, 0.05, 0.03 
12.00, 0.07, 0.01 
12.03, 0.05, 0.03 
12.02, 0.06, 0.02 
12.05, 0.05, 0.03 
12.04, 0.05, 0.03 
11.99, 0.03, 0.05 
11.99, 0.06, 0.02 
12.07, 0.05, 0.03 
12.01, 0.06, 0.02 
12.03, 0.05, 0.03 
12.06, 0.06, 0.02 
12.02, 0.07, 0.01 
11.99, 0.06, 0.02 
11.98, 0.07, 0.00 
12.05, 0.08, 0.01 
12.07, 0.07, 0.01 
11.98, 0.07, 0.01 
12.05, 0.06, 0.03 
12.05, 0.06, 0.02 
12.04, 0.06, 0.02 
12.01, 0.05, 0.03 
11.95, 0.06, 0.01 
12.02, 0.05, 0.03 
12.07, 0.05, 0.03 
11.98, 0.05, 0.03 
12.05, 0.06, 0.02 
12.05, 0.04, 0.04 
12.04, 0.06, 0.01 
12.09, 0.05, 0.03 
12.00, 0.07, 0.01 
12.09, 0.05, 0.02 
12.09, 0.06, 0.02 
11.97, 0.03, 0.04 
12.02, 0.04, 0.04 
12.02, 0.05, 0.03 
11.97, 0.04, 0.03 
12.02, 0.05, 0.02 
12.02, 0.07, 0.01 
12.05, 0.04, 0.03 
12.03, 0.06, 0.02 
12.04, 0.05, 0.03 
12.08, 0.05, 0.03 
12.01, 0.06, 0.02 
12.04, 0.06, 0.02 
12.01, 0.07, 0.01 
12.09, 0.04, 0.04 
11.99, 0.05, 0.03 
12.06, 0.05, 0.04 
11.98, 0.05, 0.03 
12.02, 0.06, 0.03 
12.02, 0.05, 0.03 
12.07, 0.06, 0.02 
12.06, 0.06, 0.02 
12.00, 0.05, 0.03 
12.03, 0.06, 0.03 
12.05, 0.06, 0.03 
12.02, 0.07, 0.00 
12.01, 0.06, 0.02 
12.02, 0.05, 0.03 
12.00, 0.03, 0.04 
12.02, 0.05, 0.03 
12.01, 0.06, 0.03 
11.97, 0.07, 0.02 
12.07, 0.05, 0.01 
11.96, 0.06, 0.02 
12.03, 0.06, 0.03 
12.01, 0.06, 0.02 
12.01, 0.08, 0.01 
11.95, 0.06, 0.02 
12.00, 0.04, 0.03 
12.02, 0.05, 0.03 
12.04, 0.07, 0.01 
12.08, 0.05, 0.03 
12.04, 0.05, 0.03 
12.09, 0.07, 0.01 
12.03, 0.04, 0.02 
12.04, 0.04, 0.01 
12.03, 0.06, 0.01 
12.00, 0.05, 0.03 
11.99, 0.06, 0.01 
12.05, 0.05, 0.03 
12.04, 0.05, 0.04 
11.97, 0.06, 0.02 
11.93, 0.06, 0.02 
11.99, 0.07, 0.01 
12.02, 0.05, 0.03 
11.96, 0.06, 0.01 
12.01, 0.06, 0.02 
12.02, 0.05, 0.03 
12.04, 0.07, 0.01 
12.06, 0.04, 0.04 
12.01, 0.06, 0.03 
12.06, 0.05, 0.03 
