12.14, 2.63, 0.23 
12.11, 2.60, 0.30 
12.18, 2.65, 0.24 
12.18, 2.62, 0.25 
12.22, 2.64, 0.26 
12.16, 2.68, 0.30 
12.07, 2.62, 0.26 
12.19, 2.50, 0.23 
12.16, 2.67, 0.24 
12.10, 2.62, 0.18 
12.16, 2.60, 0.29 
12.18, 2.64, 0.25 
12.17, 2.59, 0.17 
12.11, 2.58, 0.28 
12.13, 2.55, 0.23 
12.16, 2.57, 0.25 
12.17, 2.60, 0.23 
12.18, 2.64, 0.23 
12.16, 2.53, 0.29 
12.16, 2.50, 0.29 
12.16, 2.66, 0.21 
12.18, 2.71, 0.22 
12.21, 2.65, 0.23 
12.19, 2.61, 0.20 
12.23, 2.58, 0.24 
12.21, 2.70, 0.23 
12.14, 2.59, 0.23 
12.19, 2.78, 0.19 
12.14, 2.66, 0.22 
12.18, 2.59, 0.23 
12.16, 2.61, 0.26 
12.21, 2.56, 0.23 
12.17, 2.73, 0.17 
12.15, 2.54, 0.24 
12.23, 2.52, 0.26 
12.16, 2.60, 0.25 
12.16, 2.72, 0.25 
12.19, 2.65, 0.29 
12.13, 2.55, 0.28 
12.19, 2.62, 0.25 
12.19, 2.57, 0.24 
12.23, 2.57, 0.25 
12.20, 2.69, 0.19 
12.20, 2.61, 0.22 
12.19, 2.58, 0.28 
12.16, 2.60, 0.24 
12.17, 2.54, 0.30 
12.23, 2.57, 0.23 
12.12, 2.65, 0.25 
12.23, 2.60, 0.22 
12.09, 2.64, 0.23 
12.15, 2.59, 0.29 
12.11, 2.57, 0.21 
12.16, 2.53, 0.27 
12.16, 2.62, 0.18 
12.12, 2.56, 0.23 
12.16, 2.59, 0.26 
12.16, 2.56, 0.24 
12.23, 2.60, 0.24 
12.13, 2.61, 0.25 
12.20, 2.57, 0.23 
12.21, 2.64, 0.25 
12.21, 2.57, 0.20 
12.24, 2.66, 0.26 
12.20, 2.64, 0.26 
12.20, 2.64, 0.25 
12.17, 2.66, 0.21 
12.13, 2.54, 0.28 
12.16, 2.50, 0.27 
12.14, 2.52, 0.23 
12.17, 2.57, 0.22 
12.10, 2.66, 0.21 
12.11, 2.62, 0.22 
12.10, 2.68, 0.26 
12.27, 2.69, 0.21 
12.16, 2.64, 0.22 
12.20, 2.73, 0.24 
12.17, 2.60, 0.29 
12.17, 2.57, 0.25 
12.15, 2.58, 0.23 
12.21, 2.65, 0.25 
12.21, 2.69, 0.20 
12.17, 2.60, 0.27 
12.16, 2.64, 0.25 
12.21, 2.56, 0.25 
12.11, 2.54, 0.26 
12.09, 2.73, 0.20 
12.26, 2.60, 0.28 
12.21, 2.60, 0.22 
12.17, 2.56, 0.25 
12.17, 2.58, 0.24 
12.15, 2.66, 0.26 
12.19, 2.62, 0.29 
12.21, 2.71, 0.24 
12.14, 2.71, 0.27 
12.22, 2.64, 0.20 
12.21, 2.63, 0.22 
12.13, 2.63, 0.27 
12.15, 2.60, 0.21 
12.16, 2.60, 0.24 
