12.13, 0.64, 0.38 
12.18, 0.71, 0.37 
12.15, 0.69, 0.42 
12.17, 0.64, 0.42 
12.19, 0.67, 0.39 
12.20, 0.73, 0.37 
12.11, 0.70, 0.36 
12.10, 0.72, 0.32 
12.10, 0.70, 0.37 
12.19, 0.72, 0.36 
12.14, 0.69, 0.34 
12.14, 0.72, 0.42 
12.18, 0.65, 0.42 
12.15, 0.70, 0.34 
12.12, 0.64, 0.34 
12.19, 0.72, 0.37 
12.12, 0.68, 0.36 
12.14, 0.69, 0.40 
12.15, 0.69, 0.34 
12.21, 0.72, 0.35 
12.11, 0.65, 0.41 
12.16, 0.71, 0.36 
12.15, 0.71, 0.39 
12.14, 0.67, 0.43 
12.15, 0.69, 0.41 
12.18, 0.69, 0.39 
12.11, 0.64, 0.40 
12.19, 0.70, 0.43 
12.19, 0.63, 0.36 
12.06, 0.68, 0.39 
12.18, 0.77, 0.35 
12.15, 0.65, 0.43 
12.12, 0.71, 0.37 
12.11, 0.67, 0.41 
12.15, 0.71, 0.34 
12.10, 0.75, 0.34 
12.08, 0.67, 0.38 
12.09, 0.65, 0.44 
12.07, 0.70, 0.34 
12.19, 0.72, 0.34 
12.13, 0.72, 0.43 
12.12, 0.74, 0.33 
12.08, 0.73, 0.32 
12.10, 0.65, 0.41 
12.15, 0.74, 0.32 
12.06, 0.65, 0.45 
12.10, 0.76, 0.37 
12.12, 0.73, 0.41 
12.14, 0.71, 0.35 
12.10, 0.62, 0.40 
12.14, 0.72, 0.34 
12.08, 0.69, 0.41 
12.10, 0.68, 0.32 
12.05, 0.71, 0.35 
12.11, 0.68, 0.38 
12.17, 0.63, 0.41 
12.14, 0.68, 0.36 
12.17, 0.75, 0.34 
12.15, 0.64, 0.41 
12.14, 0.70, 0.34 
12.10, 0.69, 0.44 
12.13, 0.71, 0.39 
12.20, 0.68, 0.39 
12.19, 0.72, 0.38 
12.18, 0.68, 0.37 
12.15, 0.67, 0.38 
12.16, 0.70, 0.37 
12.15, 0.70, 0.33 
12.07, 0.65, 0.40 
12.07, 0.66, 0.39 
12.13, 0.66, 0.41 
12.08, 0.61, 0.48 
12.10, 0.71, 0.35 
12.08, 0.67, 0.38 
12.17, 0.72, 0.32 
12.19, 0.60, 0.35 
12.16, 0.64, 0.40 
12.12, 0.65, 0.40 
12.12, 0.72, 0.41 
12.17, 0.70, 0.33 
12.17, 0.71, 0.28 
12.13, 0.70, 0.31 
12.13, 0.73, 0.39 
12.13, 0.64, 0.40 
12.10, 0.72, 0.37 
12.18, 0.71, 0.36 
12.15, 0.70, 0.33 
12.20, 0.58, 0.39 
12.16, 0.66, 0.37 
12.11, 0.71, 0.37 
12.18, 0.68, 0.38 
12.07, 0.74, 0.34 
12.15, 0.68, 0.36 
12.11, 0.68, 0.37 
12.09, 0.71, 0.33 
12.10, 0.77, 0.37 
12.22, 0.61, 0.35 
12.07, 0.71, 0.33 
12.05, 0.62, 0.43 
12.12, 0.65, 0.37 
