12.18, 2.37, 0.23 
12.11, 2.51, 0.19 
12.16, 2.49, 0.26 
12.19, 2.52, 0.21 
12.15, 2.57, 0.22 
12.16, 2.51, 0.26 
12.19, 2.49, 0.22 
12.18, 2.50, 0.23 
12.08, 2.44, 0.23 
12.11, 2.54, 0.16 
12.14, 2.61, 0.19 
12.13, 2.50, 0.28 
12.10, 2.46, 0.24 
12.12, 2.47, 0.21 
12.09, 2.55, 0.22 
12.19, 2.55, 0.23 
12.18, 2.52, 0.28 
12.16, 2.48, 0.22 
12.11, 2.54, 0.26 
12.18, 2.59, 0.17 
12.17, 2.52, 0.25 
12.14, 2.51, 0.18 
12.18, 2.47, 0.22 
12.12, 2.61, 0.15 
12.15, 2.45, 0.27 
12.13, 2.57, 0.24 
12.17, 2.53, 0.25 
12.20, 2.44, 0.26 
12.12, 2.42, 0.20 
12.17, 2.48, 0.24 
12.13, 2.48, 0.22 
12.20, 2.58, 0.20 
12.14, 2.63, 0.21 
12.17, 2.44, 0.25 
12.17, 2.55, 0.21 
12.17, 2.47, 0.26 
12.14, 2.60, 0.23 
12.15, 2.46, 0.24 
12.14, 2.47, 0.24 
12.17, 2.48, 0.20 
12.09, 2.43, 0.26 
12.08, 2.54, 0.21 
12.18, 2.51, 0.19 
12.10, 2.48, 0.22 
12.13, 2.46, 0.19 
12.13, 2.51, 0.17 
12.10, 2.50, 0.22 
12.13, 2.53, 0.26 
12.10, 2.58, 0.21 
12.08, 2.59, 0.16 
12.11, 2.43, 0.25 
12.10, 2.52, 0.19 
12.14, 1.66, 0.12 
12.08, 1.65, 0.15 
12.20, 2.57, 0.15 
12.11, 2.47, 0.24 
12.16, 2.45, 0.26 
12.12, 2.52, 0.23 
12.11, 2.63, 0.20 
12.09, 2.48, 0.27 
12.15, 2.62, 0.22 
12.17, 2.56, 0.16 
12.12, 2.60, 0.21 
12.18, 2.50, 0.21 
12.16, 2.51, 0.26 
12.15, 2.67, 0.16 
12.12, 2.51, 0.29 
12.20, 2.53, 0.22 
12.17, 2.39, 0.23 
12.11, 2.58, 0.19 
12.09, 2.55, 0.22 
12.15, 2.35, 0.26 
12.17, 2.52, 0.24 
12.16, 2.46, 0.21 
12.14, 2.48, 0.23 
12.12, 2.49, 0.24 
12.15, 2.47, 0.23 
12.17, 2.49, 0.19 
12.10, 2.47, 0.22 
12.09, 2.54, 0.21 
12.16, 2.46, 0.22 
12.15, 2.43, 0.20 
12.07, 2.51, 0.24 
12.19, 2.49, 0.26 
12.07, 2.57, 0.19 
12.13, 2.47, 0.24 
12.15, 2.54, 0.20 
12.12, 2.50, 0.23 
12.08, 2.36, 0.25 
12.15, 2.56, 0.21 
12.10, 2.49, 0.21 
12.16, 2.54, 0.21 
12.14, 2.49, 0.19 
12.07, 2.51, 0.19 
12.07, 2.43, 0.27 
12.11, 2.48, 0.27 
12.16, 2.40, 0.27 
12.09, 2.54, 0.21 
12.17, 2.47, 0.19 
12.17, 2.41, 0.27 
