12.29, 2.64, 0.16 
12.29, 2.90, 0.22 
12.23, 2.75, 0.27 
12.33, 2.79, 0.31 
12.26, 2.80, 0.25 
12.27, 2.79, 0.21 
12.27, 2.83, 0.21 
12.30, 2.82, 0.25 
12.24, 2.75, 0.23 
12.33, 2.78, 0.23 
12.23, 2.88, 0.26 
12.29, 2.97, 0.21 
12.24, 2.83, 0.26 
12.25, 2.63, 0.22 
12.23, 2.77, 0.20 
12.28, 2.89, 0.26 
12.33, 2.94, 0.20 
12.35, 2.82, 0.31 
12.29, 3.00, 0.24 
12.34, 2.71, 0.29 
12.33, 2.87, 0.24 
12.26, 2.72, 0.26 
12.30, 2.68, 0.23 
12.30, 2.91, 0.26 
12.21, 2.82, 0.23 
12.27, 2.73, 0.29 
12.26, 2.77, 0.28 
12.31, 2.81, 0.27 
12.25, 2.72, 0.28 
12.23, 2.77, 0.25 
12.30, 2.98, 0.27 
12.33, 2.82, 0.30 
12.31, 2.73, 0.30 
12.28, 2.81, 0.32 
12.30, 2.87, 0.25 
12.35, 2.78, 0.24 
12.30, 2.90, 0.22 
12.30, 2.84, 0.24 
12.31, 2.69, 0.33 
12.27, 2.89, 0.24 
12.30, 2.80, 0.23 
12.34, 2.89, 0.25 
12.27, 2.91, 0.23 
12.23, 2.98, 0.28 
12.31, 2.85, 0.23 
12.35, 2.68, 0.29 
12.33, 2.69, 0.29 
12.31, 2.64, 0.28 
12.25, 2.88, 0.26 
12.32, 2.75, 0.30 
12.31, 2.91, 0.26 
12.29, 2.90, 0.19 
12.30, 2.88, 0.29 
12.33, 2.79, 0.26 
12.29, 2.73, 0.30 
12.27, 2.77, 0.27 
12.27, 2.89, 0.28 
12.28, 2.66, 0.24 
12.27, 2.82, 0.29 
12.25, 2.90, 0.25 
12.31, 2.75, 0.27 
12.36, 2.71, 0.24 
12.29, 2.92, 0.22 
12.33, 2.89, 0.25 
12.34, 2.82, 0.24 
12.25, 2.80, 0.27 
12.34, 2.91, 0.26 
12.29, 2.75, 0.19 
12.24, 2.82, 0.29 
12.23, 2.83, 0.23 
12.29, 2.77, 0.29 
12.35, 2.77, 0.26 
12.32, 2.74, 0.30 
12.32, 2.86, 0.25 
12.21, 2.91, 0.30 
12.28, 3.03, 0.22 
12.28, 2.85, 0.25 
12.32, 2.84, 0.28 
12.23, 2.72, 0.26 
12.29, 2.78, 0.28 
12.34, 2.80, 0.28 
12.32, 2.88, 0.20 
12.32, 2.67, 0.30 
12.18, 2.74, 0.25 
12.30, 2.86, 0.29 
12.32, 2.87, 0.25 
12.25, 2.81, 0.29 
12.30, 2.68, 0.28 
13.17, 2.15, 0.23 
12.34, 2.85, 0.24 
12.32, 2.71, 0.20 
12.33, 2.83, 0.24 
12.31, 2.78, 0.24 
12.33, 2.78, 0.26 
12.30, 2.93, 0.20 
12.28, 2.82, 0.27 
12.28, 2.80, 0.19 
12.30, 2.77, 0.26 
12.25, 2.73, 0.24 
12.25, 2.89, 0.29 
