12.19, 2.60, 0.24 
12.22, 2.64, 0.21 
12.16, 2.49, 0.25 
12.17, 2.53, 0.26 
12.07, 2.38, 0.21 
12.18, 2.52, 0.23 
12.13, 2.37, 0.19 
12.18, 2.50, 0.18 
12.13, 2.57, 0.19 
12.19, 2.53, 0.26 
12.15, 2.60, 0.20 
12.17, 2.56, 0.22 
12.10, 2.57, 0.25 
12.16, 2.49, 0.25 
12.18, 2.52, 0.21 
12.16, 2.48, 0.26 
12.12, 2.56, 0.24 
12.16, 2.55, 0.16 
12.13, 2.44, 0.24 
12.13, 2.47, 0.26 
12.13, 2.47, 0.25 
12.10, 2.57, 0.23 
12.18, 2.51, 0.26 
12.13, 2.46, 0.26 
12.17, 2.46, 0.22 
12.18, 2.48, 0.22 
12.15, 2.63, 0.20 
12.13, 2.48, 0.22 
12.18, 2.45, 0.26 
12.16, 2.45, 0.22 
12.19, 2.50, 0.22 
12.17, 2.45, 0.22 
12.21, 2.32, 0.23 
12.14, 2.50, 0.26 
12.14, 2.56, 0.16 
12.12, 2.50, 0.20 
12.09, 2.52, 0.22 
12.11, 2.56, 0.22 
12.12, 2.45, 0.24 
12.08, 2.54, 0.19 
12.15, 2.55, 0.17 
12.18, 2.55, 0.22 
12.15, 2.56, 0.21 
12.19, 2.56, 0.25 
12.16, 2.55, 0.23 
12.15, 2.48, 0.24 
12.13, 2.45, 0.16 
12.16, 2.33, 0.26 
12.14, 2.49, 0.26 
12.14, 2.53, 0.24 
12.13, 2.61, 0.22 
12.11, 2.57, 0.16 
12.15, 2.56, 0.22 
12.14, 2.49, 0.19 
12.13, 2.39, 0.28 
12.14, 2.61, 0.23 
12.19, 2.58, 0.20 
12.13, 2.38, 0.26 
12.20, 2.52, 0.22 
12.17, 2.48, 0.27 
12.19, 2.44, 0.28 
12.19, 2.49, 0.20 
12.12, 2.49, 0.24 
12.20, 2.54, 0.24 
12.14, 2.53, 0.21 
12.15, 2.46, 0.24 
12.13, 2.47, 0.24 
12.20, 2.61, 0.19 
12.18, 2.59, 0.21 
12.13, 2.49, 0.21 
12.09, 2.51, 0.24 
12.21, 2.53, 0.26 
12.18, 2.43, 0.24 
12.12, 2.46, 0.18 
12.10, 2.53, 0.23 
12.08, 2.49, 0.24 
12.08, 2.46, 0.21 
12.09, 2.38, 0.28 
12.12, 2.50, 0.25 
12.14, 2.49, 0.21 
12.14, 2.37, 0.32 
12.17, 2.49, 0.23 
12.09, 2.36, 0.24 
12.11, 2.42, 0.23 
12.16, 2.56, 0.20 
12.11, 2.38, 0.23 
12.19, 2.49, 0.27 
12.11, 2.44, 0.24 
12.15, 2.45, 0.21 
12.13, 2.55, 0.23 
12.14, 2.61, 0.21 
12.20, 2.57, 0.22 
12.14, 2.47, 0.19 
12.08, 2.54, 0.20 
12.10, 2.46, 0.23 
12.19, 2.58, 0.19 
12.16, 2.47, 0.23 
12.19, 2.56, 0.26 
12.14, 2.49, 0.27 
12.08, 2.47, 0.23 
