12.28, 2.74, 0.23 
12.30, 2.75, 0.28 
12.29, 2.88, 0.21 
12.32, 2.89, 0.23 
12.31, 2.80, 0.21 
12.35, 2.77, 0.25 
12.28, 2.70, 0.25 
12.31, 2.78, 0.27 
12.37, 2.88, 0.26 
12.31, 2.87, 0.19 
12.28, 2.88, 0.27 
12.35, 2.69, 0.31 
12.27, 2.77, 0.27 
12.27, 2.77, 0.23 
12.34, 2.80, 0.23 
12.33, 2.73, 0.30 
12.28, 2.77, 0.28 
12.23, 2.77, 0.26 
12.36, 2.89, 0.23 
12.31, 2.84, 0.24 
12.33, 2.78, 0.24 
12.27, 2.91, 0.19 
12.26, 2.77, 0.25 
12.23, 2.89, 0.28 
12.24, 2.78, 0.23 
12.39, 2.92, 0.28 
12.35, 2.72, 0.32 
12.37, 2.90, 0.26 
12.33, 2.82, 0.31 
12.30, 2.71, 0.32 
12.31, 2.84, 0.28 
12.23, 2.80, 0.22 
12.30, 2.82, 0.27 
12.32, 2.95, 0.25 
12.33, 2.82, 0.26 
12.35, 2.72, 0.20 
12.32, 2.85, 0.27 
12.39, 2.85, 0.26 
12.28, 2.76, 0.26 
12.37, 2.72, 0.32 
12.30, 2.71, 0.28 
12.34, 2.65, 0.25 
12.30, 2.80, 0.28 
12.31, 2.75, 0.26 
12.32, 2.79, 0.30 
12.33, 2.71, 0.27 
12.23, 2.85, 0.25 
12.28, 2.70, 0.30 
12.36, 2.69, 0.26 
12.34, 2.73, 0.24 
12.28, 2.87, 0.29 
12.30, 2.85, 0.21 
12.36, 2.89, 0.19 
12.32, 2.70, 0.26 
12.33, 2.83, 0.19 
12.28, 2.92, 0.23 
12.35, 2.74, 0.24 
12.23, 2.90, 0.30 
12.26, 2.61, 0.27 
12.28, 2.68, 0.21 
12.31, 2.88, 0.25 
12.32, 2.90, 0.25 
12.21, 2.79, 0.27 
12.32, 2.97, 0.26 
12.27, 2.73, 0.24 
12.33, 2.74, 0.33 
12.28, 2.75, 0.24 
12.26, 2.83, 0.19 
12.36, 2.88, 0.24 
12.26, 2.65, 0.29 
12.26, 2.80, 0.26 
12.35, 2.61, 0.31 
12.36, 2.86, 0.28 
12.32, 2.64, 0.23 
12.32, 2.63, 0.32 
12.34, 2.80, 0.28 
12.38, 2.91, 0.24 
12.33, 2.80, 0.27 
12.24, 2.73, 0.24 
12.29, 2.85, 0.30 
12.35, 2.76, 0.23 
12.32, 2.86, 0.22 
12.31, 2.70, 0.29 
12.27, 2.79, 0.24 
12.33, 2.80, 0.25 
12.32, 2.95, 0.26 
12.33, 2.76, 0.23 
12.30, 2.66, 0.24 
12.25, 2.84, 0.27 
12.19, 2.79, 0.21 
12.26, 2.79, 0.21 
12.30, 2.87, 0.24 
12.26, 2.71, 0.22 
12.29, 2.90, 0.25 
12.31, 2.76, 0.22 
12.29, 2.81, 0.27 
12.34, 2.72, 0.27 
12.32, 2.96, 0.23 
12.27, 2.83, 0.28 
12.33, 2.83, 0.20 
