12.31, 2.97, 0.27 
12.38, 2.95, 0.29 
12.34, 2.91, 0.29 
12.36, 2.99, 0.35 
12.25, 2.92, 0.32 
12.25, 2.93, 0.25 
12.30, 2.94, 0.27 
12.29, 2.76, 0.28 
12.23, 2.83, 0.26 
12.31, 2.96, 0.30 
12.25, 2.96, 0.25 
12.29, 2.95, 0.26 
12.33, 3.03, 0.28 
12.33, 2.98, 0.26 
12.34, 2.92, 0.31 
12.32, 2.98, 0.28 
12.36, 2.92, 0.32 
12.28, 2.97, 0.27 
12.29, 2.85, 0.29 
12.30, 2.95, 0.27 
12.30, 2.92, 0.28 
12.33, 3.01, 0.24 
12.31, 2.99, 0.26 
12.23, 2.80, 0.33 
12.30, 2.92, 0.25 
12.32, 3.01, 0.26 
12.37, 2.94, 0.34 
12.29, 2.92, 0.29 
12.32, 3.02, 0.27 
12.23, 2.77, 0.30 
12.30, 2.94, 0.26 
12.36, 3.04, 0.23 
12.32, 2.98, 0.26 
12.33, 2.98, 0.26 
12.32, 3.05, 0.27 
12.29, 2.92, 0.25 
12.32, 2.88, 0.31 
12.37, 2.89, 0.22 
12.31, 3.00, 0.26 
12.30, 2.99, 0.25 
12.31, 2.99, 0.25 
12.27, 2.88, 0.25 
12.41, 2.99, 0.27 
12.28, 2.99, 0.26 
12.35, 3.06, 0.27 
12.28, 2.99, 0.27 
12.34, 2.75, 0.28 
12.28, 2.72, 0.30 
12.27, 2.87, 0.29 
12.29, 3.03, 0.29 
12.26, 2.93, 0.30 
12.32, 2.92, 0.27 
12.27, 2.91, 0.27 
12.34, 2.99, 0.27 
12.31, 2.83, 0.26 
12.30, 3.01, 0.23 
12.33, 2.84, 0.34 
12.35, 2.87, 0.36 
12.23, 2.96, 0.27 
12.26, 2.89, 0.24 
12.31, 2.97, 0.28 
12.38, 2.98, 0.24 
12.28, 2.86, 0.32 
12.29, 2.85, 0.28 
12.30, 2.97, 0.27 
12.31, 2.95, 0.28 
12.33, 2.89, 0.26 
12.25, 2.91, 0.24 
12.38, 2.82, 0.26 
12.33, 2.86, 0.35 
12.37, 2.99, 0.26 
12.32, 3.05, 0.31 
12.28, 2.93, 0.29 
12.23, 3.02, 0.26 
12.29, 2.86, 0.28 
12.27, 2.96, 0.29 
12.25, 2.91, 0.30 
12.33, 3.12, 0.23 
12.32, 2.88, 0.31 
12.35, 2.90, 0.31 
12.30, 2.92, 0.27 
12.32, 2.88, 0.29 
12.31, 2.88, 0.33 
12.34, 2.81, 0.25 
12.24, 3.00, 0.26 
12.30, 2.89, 0.29 
12.32, 2.96, 0.29 
12.35, 3.06, 0.28 
12.32, 2.97, 0.30 
12.38, 2.91, 0.30 
12.31, 2.87, 0.32 
12.31, 2.79, 0.31 
12.21, 2.97, 0.28 
12.32, 2.90, 0.28 
12.30, 2.89, 0.28 
12.32, 2.97, 0.21 
12.34, 2.93, 0.29 
12.31, 2.93, 0.31 
12.30, 2.79, 0.24 
12.25, 3.13, 0.29 
