12.18, 2.47, 0.19 
12.13, 2.51, 0.21 
12.11, 2.48, 0.24 
12.19, 2.40, 0.29 
12.18, 2.49, 0.24 
12.20, 2.47, 0.23 
12.17, 2.47, 0.22 
12.14, 2.60, 0.22 
12.12, 2.54, 0.19 
12.13, 2.55, 0.17 
12.17, 2.57, 0.21 
12.14, 2.51, 0.28 
12.13, 2.47, 0.25 
12.14, 2.44, 0.23 
12.14, 2.48, 0.22 
12.23, 2.53, 0.24 
12.14, 2.56, 0.22 
12.11, 2.51, 0.18 
12.15, 2.50, 0.26 
12.15, 2.42, 0.29 
12.19, 2.46, 0.20 
12.17, 2.49, 0.20 
12.15, 2.47, 0.25 
12.15, 2.49, 0.22 
12.20, 2.62, 0.16 
12.12, 2.44, 0.20 
12.15, 2.54, 0.23 
12.18, 2.57, 0.20 
12.11, 2.54, 0.18 
12.09, 2.48, 0.25 
12.17, 2.49, 0.24 
12.24, 2.59, 0.28 
12.12, 2.39, 0.22 
12.11, 2.51, 0.25 
12.13, 2.40, 0.26 
12.12, 2.55, 0.21 
12.13, 2.48, 0.21 
12.13, 2.40, 0.27 
12.11, 2.42, 0.21 
12.09, 2.51, 0.22 
12.18, 2.47, 0.26 
12.07, 2.38, 0.22 
12.17, 2.31, 0.22 
12.05, 2.56, 0.25 
12.22, 2.40, 0.24 
12.13, 2.50, 0.25 
12.11, 2.53, 0.25 
12.18, 2.57, 0.22 
12.13, 2.37, 0.17 
12.16, 2.49, 0.20 
12.10, 2.58, 0.22 
12.15, 2.56, 0.20 
12.17, 2.50, 0.28 
12.17, 2.53, 0.20 
12.11, 2.50, 0.20 
12.15, 2.51, 0.22 
12.12, 2.50, 0.24 
12.07, 2.47, 0.24 
12.15, 2.54, 0.27 
12.19, 2.52, 0.25 
12.15, 2.43, 0.24 
12.16, 2.44, 0.21 
12.28, 2.49, 0.24 
12.16, 2.52, 0.24 
12.15, 2.53, 0.22 
12.16, 2.46, 0.22 
12.13, 2.51, 0.22 
12.17, 2.50, 0.23 
12.13, 2.56, 0.23 
12.27, 2.55, 0.24 
12.10, 2.51, 0.23 
12.12, 2.52, 0.22 
12.12, 2.53, 0.19 
12.16, 2.49, 0.26 
12.11, 2.52, 0.27 
12.14, 2.56, 0.23 
12.19, 2.42, 0.23 
12.16, 2.55, 0.20 
12.18, 2.53, 0.26 
12.18, 2.45, 0.27 
12.10, 2.49, 0.19 
12.19, 2.60, 0.20 
12.09, 2.49, 0.25 
12.15, 2.41, 0.28 
12.12, 2.48, 0.23 
12.19, 2.48, 0.24 
12.18, 2.32, 0.26 
12.18, 2.53, 0.20 
12.17, 2.50, 0.25 
12.15, 2.50, 0.25 
12.16, 2.44, 0.17 
12.17, 2.53, 0.24 
12.21, 2.58, 0.22 
12.18, 2.44, 0.25 
12.17, 2.48, 0.24 
12.09, 2.57, 0.23 
12.17, 2.44, 0.27 
12.18, 2.52, 0.24 
12.12, 2.49, 0.23 
12.18, 2.48, 0.21 
