12.19, 0.73, 0.45 
12.22, 0.70, 0.40 
12.18, 0.69, 0.32 
12.22, 0.66, 0.39 
12.22, 0.70, 0.33 
12.20, 0.64, 0.41 
12.28, 0.73, 0.39 
12.25, 0.74, 0.38 
12.29, 0.80, 0.35 
12.25, 0.68, 0.35 
12.27, 0.70, 0.37 
12.29, 0.74, 0.37 
12.30, 0.81, 0.36 
12.24, 0.62, 0.39 
12.30, 0.69, 0.34 
12.29, 0.70, 0.33 
12.27, 0.72, 0.35 
12.24, 0.71, 0.29 
12.26, 0.61, 0.35 
12.21, 0.68, 0.35 
12.20, 0.71, 0.33 
12.21, 0.69, 0.33 
12.23, 0.68, 0.32 
12.33, 0.75, 0.36 
12.30, 0.65, 0.38 
12.30, 0.74, 0.36 
12.24, 0.65, 0.32 
12.28, 0.65, 0.44 
12.27, 0.71, 0.35 
12.30, 0.72, 0.38 
12.19, 0.70, 0.36 
12.21, 0.73, 0.34 
12.28, 0.74, 0.39 
12.32, 0.73, 0.42 
12.20, 0.70, 0.32 
12.20, 0.73, 0.31 
12.24, 0.70, 0.36 
12.27, 0.72, 0.32 
12.27, 0.76, 0.36 
12.25, 0.72, 0.41 
12.29, 0.71, 0.34 
12.28, 0.72, 0.42 
12.31, 0.73, 0.40 
12.25, 0.73, 0.32 
12.27, 0.69, 0.36 
12.35, 0.71, 0.37 
12.30, 0.70, 0.41 
12.31, 0.76, 0.37 
12.34, 0.74, 0.38 
12.20, 0.68, 0.41 
12.29, 0.68, 0.37 
12.24, 0.74, 0.34 
12.32, 0.62, 0.35 
12.23, 0.55, 0.32 
12.31, 0.66, 0.41 
12.32, 0.70, 0.38 
12.28, 0.75, 0.27 
12.29, 0.72, 0.35 
12.30, 0.70, 0.35 
12.30, 0.78, 0.41 
12.20, 0.70, 0.38 
12.25, 0.70, 0.38 
12.25, 0.70, 0.33 
12.26, 0.71, 0.34 
12.28, 0.71, 0.33 
12.22, 0.72, 0.37 
12.23, 0.68, 0.35 
12.29, 0.72, 0.36 
12.28, 0.75, 0.34 
12.30, 0.81, 0.31 
12.30, 0.69, 0.33 
12.29, 0.70, 0.35 
12.32, 0.78, 0.35 
12.28, 0.67, 0.35 
12.30, 0.69, 0.38 
12.27, 0.80, 0.31 
12.32, 0.70, 0.34 
12.34, 0.75, 0.37 
12.29, 0.70, 0.40 
12.28, 0.71, 0.39 
12.26, 0.72, 0.31 
12.23, 0.75, 0.37 
12.26, 0.69, 0.38 
12.25, 0.76, 0.32 
12.26, 0.74, 0.35 
12.29, 0.78, 0.35 
12.32, 0.81, 0.34 
12.27, 0.66, 0.41 
12.32, 0.67, 0.38 
12.33, 0.73, 0.37 
12.25, 0.69, 0.28 
12.20, 0.68, 0.36 
12.30, 0.78, 0.36 
12.28, 0.67, 0.39 
12.31, 0.80, 0.31 
12.29, 0.69, 0.42 
12.30, 0.74, 0.31 
12.24, 0.66, 0.38 
12.29, 0.70, 0.35 
12.19, 0.75, 0.34 
